Month,Calendar Year,Fiscal Year,Withholding,Income Tax Estimates & Finals,Sales and Use,Business Use,Room Occupancy,Electric Generation,Business Entity,Corporation Business,Pass-Through Entity,Unrelated Business Income,"Cable, Satellite and Video",PEG Account,Electric & Power,Gas & Electric,Railroads,Estate & Gift,Insurance Premiums Domestic,Insurance Premiums Foreign,Health Care Centers,Nonadmitted / Unauthorized / Captive Insurers,Alcoholic Beverages,Cigarette Tax,Electronic Cigarette Products,Tobacco Products,Cannabis Tax,Controlling Interest Transfer,Real Estate Conveyance,Petroleum Gross Earnings,Admissions & Dues,Admissions & Dues and TNC Fee,Dry Cleaners,Occupational Tax,Rental Surcharge,Solid Waste,Tourism Surcharge,Controlled Substances,Prepaid Wireless E-9-1-1 Fee,Paid Preparer Fee,Repealed Taxes,Nursing Home User Fee,Hospitals,Intermediate Care Facility,Ambulatory Surgical Centers,Gasoline,Special Fuel,Motor Carrier,Highway Use Fee,Licenses,Beverage Container Deposits,Total Revenue
July,2011,FY 2011-12,,,,,,,381060.92,,,13131.96,,1206491,,,80290,6389228,7422.02,482963.75,0,13394.08,,16109807.86,,688528.85,,922415.49,,,2673711.44,,81002.98,40850.32,0,811503.94,297504.9,3058.43,,,213162.9,,,,,,,,,168768.74,,30584297.58
August,2011,FY 2011-12,277152390.94,23202684.78,266684123.26,927436.95,8942131.1,0,484492.78,15834589.6,,34439.43,646401.18,-395889.84,598.14,207.96,8683.63,22578867.66,14169.41,1161899.64,0,11031.43,5908080.78,40686262.05,,941050.13,,3557753,8928562.46,597737.14,3187848.06,,92488.98,28797.88,0,79789,626828.96,2221.46,0,,95482.39,1358440.78,0,0,,31362452.56,9466716.36,110712.68,,136076,144726.5,724600285.22
September,2011,FY 2011-12,398048299.06,274881288.84,289661741.74,2769766.79,10132507.23,0,824783.27,77972927.85,,190040.7,0,0,0,0,0,10020517.14,9377243.86,22080153.83,4679473,71577.12,4464952.36,38971173.03,,999066.57,,595053.17,10074029.04,632106.4,2218147.94,,6872.07,44417.09,0,0,462709,1200.37,0,,17587.19,664491.99,0,0,,31744734.83,10609017.91,1159712.65,,387327.46,64361.03,1203827280.53
October,2011,FY 2011-12,408613206.17,69442266.48,333566779.06,3798695.47,9770714.1,17767106,461952.67,25876711.83,,28806.63,13604060.48,1331324.47,44699891.27,8386739.97,0,10091249.23,0,283205.23,0,1075.39,4780496.56,34589222.24,,917235.07,,58244.14,9467368.8,97965756.9,1927275.34,,95216.44,50200.7,75.25,597058.29,439563.14,1267.67,0,,234203.54,33023090.06,84247905,693114.28,,30343374.73,9815832.71,1747806.95,,152225.5,7240241.36,1266110559.12
November,2011,FY 2011-12,465707421.5,88038348.61,308212282.11,1837456.18,10088593.69,0,484246.81,15126465.53,,206688.68,2122064.49,-504536,937853.93,66189,0,5306502.15,0,1978527.15,0,174461.55,5134593.07,33119894.46,,836365.21,,1727415.98,8037987.89,813537.1,1979754.21,,86382.09,364053.66,0,314208,429904.31,967.44,0,,76580.84,2630223.01,3032664,4033619.71,,31255463.77,9810633.04,209077.1,,200230.31,152895.02,1004029015.6
December,2011,FY 2011-12,540952630.73,228425551.18,238439058.98,8393847.86,8472731.83,0,3841928.66,103469367.48,,237319.86,148428.88,0,0,0,0,4927305.26,5243983.8,24151292.42,1755540,62212.31,4576157.05,36679297,,885652.14,,146520.45,8494498.3,2702186.46,1849964.72,,24414.85,2848686.31,0,0,377605.72,1083.04,0,,176727.57,915106.47,0,1007969,,31129792.06,10207795.06,2538726.11,,243297.83,0,1273326679.39
January,2012,FY 2011-12,493107286.03,451940061.47,477899840.33,7633130.48,7126289.28,14009753,-2605943.43,31119716.59,,11267.55,13002977,1278633,30460983.35,12271804.97,0,5769424.13,-20523,280780.77,0,271914.23,6518892.37,31491146.21,,790280.49,,1080985.57,8656655.87,86850525.84,3521210,,94700.01,4846472.41,6822.37,597553.68,416073.33,11526.85,0,,604814.7,35058409.91,84911482,2153074.8,,31725722.89,8982040.79,1438215.13,,175399,6119382.24,1859608782.21
February,2012,FY 2011-12,481771321.2,92941720.31,275255288.84,5313289.45,6217308.59,3922486,6832266.32,23075004.68,,355537.19,-960012,-164683.41,313742,181746.57,0,5531714.41,7076182.7,14771159.37,1167844,3240723.31,3337092.86,28585884.54,,710447.75,,730835.24,6576031.01,4054834.45,4442503.33,,74988.96,305946.26,223367.18,263218,349280.94,6992.58,0,,197367.51,3563902.81,2369087,1051601,,28138078.89,8510583.97,508882.85,,153900.48,148897.63,1021146364.77
March,2012,FY 2011-12,564895879.2,104713533.6,185747684.91,2530107.09,6029389.98,0,14105963.83,161666524.76,,336078.91,0,0,0,0,20,12253927.93,15354453.17,45531380.84,3479475,2249523.31,3680781.77,29765070.22,,749662.78,,166761.64,7988041,653516.07,2150585.15,,14085.13,189662.91,50,0,346788.13,2162,0,,260962.69,1162401,0,991187,,28116273.34,7819878.93,1903202.99,,166096.68,-1048.61,1205020063.35
April,2012,FY 2011-12,372964696.84,1223284456.17,389069033.42,6558418.74,8179143.01,17053000,11740783.9,41473420.27,,59712.45,9008886.44,439597,39955495.4,19148489.98,0,65959386.83,-1518505.32,400398.56,3625869,7245.29,6010731.38,32038387.9,,704115.43,,1057806.39,9274578.46,85594631,3806065.18,,64575.07,137602.27,0,545592.96,401468,813.74,0,,26866.88,34176490.96,83446225,1734910,,29074172.98,8957170.56,1676400.91,,142477.92,5334617.33,2511615228.3
